weekstr,date,023406156015ef87f99521f3b343f71f,025943df23acf5d3863b35fa6e0d79ec,03c6699ea836decbc5c8fc2dbae7bd3b,099cd99056bf92e5f0e384465890a804,0c80008b0a28d356026f4b1097041689,1339f978614ff19cd48f07e5420556d4,1731019fbaa825714d5f8e61ad1bb7ff,25739ad1c56a511fcac86018ac4e49bb,28e32be6ba67e0c6fdfdff80ce07dfd4,2b7fedeea967becd9408b896de8ff903,2e14d32266ee6b4678595f8f50c369ac,2ec1450a1389d4e3fc2a9a76c9378bb3,33fd0a2cfcfd24e114707bba71ca1de9,34bc4bc49a725f2686a5cf9c89985798,3964ee41d4e2ade1957a9135afe1b8dc,3e395c6b799d3d8cb7cd501b4503b536,40bbb0da5570702dd6ff3af5e9e3aea6,445a257964b9689f115a69e8cc5dcb75,4b8eb68442432c242e9242be040bacf9,4ee3f9c90101073c99d5440b41f07daa,4f3f68292e50f39cd8142733512c07d6,53dd7de874e0999634c28cdd94d21257,5e2ef5473cbbdb335f6d51dc57845437,61dfd882204789d7d0f70fee2b901cef,6a493121e53d83f9e119b02942d7c8fe,6bb4c3bbdb6f5a96d643320c6b6005f5,6f462b173b2d6d20a2c9fb1ec0fd2dda,7e0db58c13d033dafe5f5e1e70ff7eb4,82fda1f850a9fe22e41b5c8dadaff4ac,8da51d03b8b8717431e8b902856fb45e,8f29cbc2a555034643d66f9e83dd7a7a,8fb3cef29f2c266af4c9ecef3b780e97,97de6333157f35467dff271d7afb0a23,9e58afbf3fea116b0050bf56bfb4442e,9f69ffd8852196e02cfa19b5cd9bc432,ac43c6ce2f9df4adfbb05edd97cecbcc,b6a175a48743caed6d035444c069ab64,b7522cc91cf57ada15de2298bfd6a3ee,be0c7a23c2aa9afb45163995b9ec938c,bf21d16799b240d6e445fa30472bd50b,c026b84e8f23a7741d9b670e3d8973f0,c5eac1d455675dfbc99f6c70f7b3971f,c5f0170f87a2fbb17bf65dc858c745e2,ca6db6d4f02b7b946c57fc389e67dd7e,d773376e46311393cd89994bf9a93043,e087f8842fe66efa5ccee42ff791e0ca,e6e2fff03cc32ee9777de2c2ed5bac30,f5a5373f30de984e9142a206f94a2f46,f6e0f05fde7637afb8f8bc6bda74ca24,ffd47cf9cb66d226575336f0fa42ae25
Tuesday,2015/8/18,493,401,1253,1251,227,77,511,173,197,11,2305,982,143,183,534,935,1110,173,2320,21,694,301,720,51,542,673,331,1081,154,958,130,2952,451,570,169,1085,158,545,847,19,2299,17,3477,1139,632,127,301,175,229,72
Wednesday,2015/8/19,582,349,878,1246,287,124,893,232,240,4,2564,823,160,184,564,984,1119,168,2405,35,546,188,830,35,345,700,353,1549,170,1058,128,2879,274,537,174,867,166,631,815,22,2078,33,3215,929,720,126,242,200,141,184
Thursday,2015/8/20,581,306,635,1393,340,84,895,172,296,15,2539,927,185,132,592,817,1171,222,2540,23,665,215,1000,37,336,764,318,1234,192,940,129,2759,266,722,183,923,133,654,779,19,2056,31,3217,910,743,68,349,153,144,165
Friday,2015/8/21,512,317,1053,1511,278,95,788,231,184,10,2740,732,189,114,552,724,1283,188,2913,41,635,376,903,37,371,937,328,1110,199,1049,161,2863,253,482,194,1017,223,525,755,25,2052,19,3257,1134,800,61,367,219,145,175
Saturday,2015/8/22,503,257,669,1286,245,104,585,246,150,5,2272,732,119,181,440,867,1234,162,2531,95,725,250,629,58,317,638,253,1070,141,912,159,2537,220,471,168,874,198,495,706,16,1813,27,3009,553,611,165,239,173,194,141
Sunday,2015/8/23,470,260,940,1251,222,75,538,168,163,14,2582,779,155,185,500,1130,1033,167,2453,21,603,262,655,80,370,785,297,1012,154,1121,123,2504,174,437,261,887,149,513,632,14,1772,37,2698,828,581,105,309,139,171,81
Monday,2015/8/24,525,274,846,1410,382,104,583,317,152,2,2423,692,175,191,527,919,1095,153,2549,31,581,245,731,50,394,766,352,1051,158,975,200,2746,291,602,192,867,154,434,812,16,2140,39,3068,822,696,364,321,195,157,73
Tuesday,2015/8/25,599,385,965,1499,296,105,548,247,188,7,2194,680,139,165,584,1086,1046,154,2031,35,611,340,684,58,409,714,292,925,139,990,168,2539,295,740,205,993,202,426,700,16,2031,73,2713,679,579,80,253,223,112,90
Wednesday,2015/8/26,385,332,1060,1405,307,104,533,294,177,2,2473,707,338,222,545,883,1077,174,2029,52,647,265,774,67,410,870,342,1065,140,965,144,2643,317,716,216,799,171,508,767,32,2029,21,3099,606,636,82,314,182,118,118
Thursday,2015/8/27,493,268,1001,1465,370,112,543,296,165,4,2388,800,245,107,566,1222,1207,162,2647,33,605,306,808,51,352,775,303,1042,174,955,141,2550,380,672,199,876,156,521,732,15,1894,192,3161,457,632,67,475,179,137,88
Friday,2015/8/28,466,349,679,1320,392,139,462,215,211,2,2580,983,280,221,486,1295,1205,181,2431,53,700,329,732,36,338,803,312,1142,179,868,265,2563,274,597,203,1017,146,515,919,26,1555,48,3106,473,618,113,390,164,162,98
Saturday,2015/8/29,463,240,620,1171,288,124,481,174,131,12,2525,914,192,244,556,872,1158,190,2499,30,717,286,694,49,287,785,274,1249,138,852,222,2930,274,582,376,959,153,507,735,33,1628,48,3044,490,457,72,275,196,159,74
Sunday,2015/8/30,520,318,567,1390,272,95,527,188,149,9,2420,823,183,224,521,1131,1040,183,2680,28,771,304,798,64,212,682,419,1158,113,846,167,2635,252,535,316,1046,160,415,670,30,1576,53,2615,633,634,85,324,197,194,66
